序号,桥梁名称,桥梁编码,监测场景,监测内容,位置,测点编号,SN号/地址,端口号,用户,admin
1,蓟运河大桥,G0111120116L0080,水毁风险区桥梁监测,水位监测,上行第9#桥墩处,JYHDQ-WLV-P01-001-02,11,41001,密码,Zjhl2025
2,蓟运河大桥,G0111120116L0080,,视频抓拍,上行,,192.168.9.66,,,
3,蓟运河大桥,G0111120116L0080,撞击高风险桥梁监测,振动监测,上行第8#桥墩,JYHDQ-VIB-P01-001-01,1524020719,,,
4,蓟运河大桥,G0111120116L0080,撞击高风险桥梁监测,振动监测,上行第9#桥墩,JYHDQ-VIB-P01-001-02,1524020745,,,
5,蓟运河大桥,G0111120116L0080,撞击高风险桥梁监测,振动监测,上行第10#桥墩,JYHDQ-VIB-P01-001-03,1524020731,,,
6,蓟运河大桥,G0111120116L0080,撞击高风险桥梁监测,振动监测,上行第11#桥墩,JYHDQ-VIB-P01-001-04,1524020734,,,
7,蓟运河大桥,G0111120116L0080,高烈度地震区桥梁监测,桥墩倾斜监测,上行第8#桥墩,JYHDQ-INC-P01-001-01,1524020719,,,
8,蓟运河大桥,G0111120116L0080,高烈度地震区桥梁监测,桥墩倾斜监测,上行第9#桥墩,JYHDQ-INC-P01-001-02,1524020745,,,
9,蓟运河大桥,G0111120116L0080,高烈度地震区桥梁监测,桥墩倾斜监测,上行第10#桥墩,JYHDQ-INC-P01-001-03,1524020731,,,
10,蓟运河大桥,G0111120116L0080,高烈度地震区桥梁监测,桥墩倾斜监测,上行第11#桥墩,JYHDQ-INC-P01-001-04,1524020734,,,
11,蓟运河大桥,G0111120116L0080,,视频抓拍,下行,,192.168.9.67,,,
12,蓟运河大桥,G0111120116L0080,撞击高风险桥梁监测,振动监测,下行第8#桥墩,JYHDQ-VIB-P01-002-01,1524020740,,,
13,蓟运河大桥,G0111120116L0080,撞击高风险桥梁监测,振动监测,下行第9#桥墩,JYHDQ-VIB-P01-002-02,1524020737,,,
14,蓟运河大桥,G0111120116L0080,撞击高风险桥梁监测,振动监测,下行第10#桥墩,JYHDQ-VIB-P01-002-03,1524020743,,,
15,蓟运河大桥,G0111120116L0080,撞击高风险桥梁监测,振动监测,下行第11#桥墩,JYHDQ-VIB-P01-002-04,1524020738,,,
16,蓟运河大桥,G0111120116L0080,高烈度地震区桥梁监测,桥墩倾斜监测,下行第8#桥墩,JYHDQ-INC-P01-002-01,1524020740,,,
17,蓟运河大桥,G0111120116L0080,高烈度地震区桥梁监测,桥墩倾斜监测,下行第9#桥墩,JYHDQ-INC-P01-002-02,1524020737,,,
18,蓟运河大桥,G0111120116L0080,高烈度地震区桥梁监测,桥墩倾斜监测,下行第10#桥墩,JYHDQ-INC-P01-002-03,1524020743,,,
19,蓟运河大桥,G0111120116L0080,高烈度地震区桥梁监测,桥墩倾斜监测,下行第11#桥墩,JYHDQ-INC-P01-002-04,1524020738,,,
20,潮白新河特大桥,G0111120116L0130,水毁风险区桥梁监测,水位监测,上行第15#桥墩处,CBXH-WLV-P01-001-02,12,41000,134.175.231.205,
21,潮白新河特大桥,G0111120116L0130,,视频抓拍,上行,,192.168.9.64,,,
22,潮白新河特大桥,G0111120116L0130,撞击高风险桥梁监测,振动监测,上行第14#桥墩,CBXH-VIB-P01-001-01,1524020748,,,
23,潮白新河特大桥,G0111120116L0130,撞击高风险桥梁监测,振动监测,上行第15#桥墩,CBXH-VIB-P01-001-02,1524020736,,,
24,潮白新河特大桥,G0111120116L0130,撞击高风险桥梁监测,振动监测,上行第19#桥墩,CBXH-VIB-P01-001-03,1524020751,,,
25,潮白新河特大桥,G0111120116L0130,撞击高风险桥梁监测,振动监测,上行第20#桥墩,CBXH-VIB-P01-001-04,1524020746,,,
26,潮白新河特大桥,G0111120116L0130,高烈度地震区桥梁监测,桥墩倾斜监测,上行第14#桥墩,CBXH-INC-P01-001-01,1524020748,,,
27,潮白新河特大桥,G0111120116L0130,高烈度地震区桥梁监测,桥墩倾斜监测,上行第15#桥墩,CBXH-INC-P01-001-02,1524020736,,,
28,潮白新河特大桥,G0111120116L0130,高烈度地震区桥梁监测,桥墩倾斜监测,上行第19#桥墩,CBXH-INC-P01-001-03,1524020751,,,
29,潮白新河特大桥,G0111120116L0130,高烈度地震区桥梁监测,桥墩倾斜监测,上行第20#桥墩,CBXH-INC-P01-001-04,1524020746,,,
30,潮白新河特大桥,G0111120116L0130,,视频抓拍,下行,,192.168.9.65,,,
31,潮白新河特大桥,G0111120116L0130,撞击高风险桥梁监测,振动监测,下行第14#桥墩,CBXH-VIB-P01-002-01,1524020672,,,
