编码,水位(m),时间
JYHDQ-WLV-P01-001-02,8.58,2025-11-16 00:08:25.553
YDXH-WLV-P01-001-02,12.091,2025-11-16 00:08:26.469
DLJH-WLV-P01-001-02,17.063,2025-11-16 00:08:30.609
ZYXH-WLV-P01-001-02,18.331,2025-11-16 00:08:31.531
CBXH-WLV-P01-001-02,10.259,2025-11-16 00:08:36.619
JYHDQ-WLV-P01-001-02,8.579,2025-11-16 00:18:25.571
YDXH-WLV-P01-001-02,12.085,2025-11-16 00:18:26.470
DLJH-WLV-P01-001-02,17.098,2025-11-16 00:18:30.604
ZYXH-WLV-P01-001-02,18.345,2025-11-16 00:18:31.854
CBXH-WLV-P01-001-02,10.255,2025-11-16 00:18:36.648
JYHDQ-WLV-P01-001-02,8.575,2025-11-16 00:28:25.605
YDXH-WLV-P01-001-02,12.069,2025-11-16 00:28:26.452
DLJH-WLV-P01-001-02,17.094,2025-11-16 00:28:30.639
ZYXH-WLV-P01-001-02,18.366,2025-11-16 00:28:31.516
CBXH-WLV-P01-001-02,10.252,2025-11-16 00:28:36.591
JYHDQ-WLV-P01-001-02,8.578,2025-11-16 00:38:25.571
YDXH-WLV-P01-001-02,12.08,2025-11-16 00:38:26.465
DLJH-WLV-P01-001-02,17.115,2025-11-16 00:38:30.611
ZYXH-WLV-P01-001-02,18.372,2025-11-16 00:38:31.511
CBXH-WLV-P01-001-02,10.261,2025-11-16 00:38:36.618
JYHDQ-WLV-P01-001-02,8.582,2025-11-16 00:48:25.618
YDXH-WLV-P01-001-02,12.07,2025-11-16 00:48:26.441
DLJH-WLV-P01-001-02,17.149,2025-11-16 00:48:30.601
ZYXH-WLV-P01-001-02,18.396,2025-11-16 00:48:31.505
CBXH-WLV-P01-001-02,10.245,2025-11-16 00:48:36.611
JYHDQ-WLV-P01-001-02,8.58,2025-11-16 00:58:25.589
YDXH-WLV-P01-001-02,12.053,2025-11-16 00:58:26.439
DLJH-WLV-P01-001-02,17.186,2025-11-16 00:58:30.620
ZYXH-WLV-P01-001-02,18.418,2025-11-16 00:58:31.511
CBXH-WLV-P01-001-02,10.244,2025-11-16 00:58:36.611
JYHDQ-WLV-P01-001-02,8.577,2025-11-16 01:08:25.571
YDXH-WLV-P01-001-02,12.053,2025-11-16 01:08:26.465
DLJH-WLV-P01-001-02,17.204,2025-11-16 01:08:30.633
ZYXH-WLV-P01-001-02,18.456,2025-11-16 01:08:31.956
CBXH-WLV-P01-001-02,10.24,2025-11-16 01:08:36.639
JYHDQ-WLV-P01-001-02,8.583,2025-11-16 01:18:25.555
YDXH-WLV-P01-001-02,12.048,2025-11-16 01:18:26.456
DLJH-WLV-P01-001-02,17.261,2025-11-16 01:18:30.595
ZYXH-WLV-P01-001-02,18.502,2025-11-16 01:18:31.886
CBXH-WLV-P01-001-02,10.24,2025-11-16 01:18:36.764
JYHDQ-WLV-P01-001-02,8.575,2025-11-16 01:28:25.589
YDXH-WLV-P01-001-02,12.046,2025-11-16 01:28:26.457
DLJH-WLV-P01-001-02,17.305,2025-11-16 01:28:30.652
ZYXH-WLV-P01-001-02,18.567,2025-11-16 01:28:31.900
CBXH-WLV-P01-001-02,10.233,2025-11-16 01:28:36.613
JYHDQ-WLV-P01-001-02,8.575,2025-11-16 01:38:25.574
YDXH-WLV-P01-001-02,12.04,2025-11-16 01:38:26.440
DLJH-WLV-P01-001-02,17.359,2025-11-16 01:38:30.612
ZYXH-WLV-P01-001-02,18.614,2025-11-16 01:38:31.896
CBXH-WLV-P01-001-02,10.23,2025-11-16 01:38:36.633
JYHDQ-WLV-P01-001-02,8.575,2025-11-16 01:48:25.558
YDXH-WLV-P01-001-02,12.036,2025-11-16 01:48:26.465
DLJH-WLV-P01-001-02,17.427,2025-11-16 01:48:30.643
ZYXH-WLV-P01-001-02,18.656,2025-11-16 01:48:31.911
CBXH-WLV-P01-001-02,10.226,2025-11-16 01:48:36.640
JYHDQ-WLV-P01-001-02,8.569,2025-11-16 01:58:25.528
YDXH-WLV-P01-001-02,12.031,2025-11-16 01:58:26.466
DLJH-WLV-P01-001-02,17.469,2025-11-16 01:58:30.640
ZYXH-WLV-P01-001-02,18.706,2025-11-16 01:58:31.882
CBXH-WLV-P01-001-02,10.224,2025-11-16 01:58:36.642
JYHDQ-WLV-P01-001-02,8.574,2025-11-16 02:08:25.544
YDXH-WLV-P01-001-02,12.027,2025-11-16 02:08:26.466
DLJH-WLV-P01-001-02,17.527,2025-11-16 02:08:30.642
ZYXH-WLV-P01-001-02,18.75,2025-11-16 02:08:31.957
CBXH-WLV-P01-001-02,10.221,2025-11-16 02:08:36.622
JYHDQ-WLV-P01-001-02,8.574,2025-11-16 02:18:25.589
YDXH-WLV-P01-001-02,12.039,2025-11-16 02:18:26.475
DLJH-WLV-P01-001-02,17.596,2025-11-16 02:18:30.629
ZYXH-WLV-P01-001-02,18.813,2025-11-16 02:18:31.960
CBXH-WLV-P01-001-02,10.226,2025-11-16 02:18:36.624
JYHDQ-WLV-P01-001-02,8.584,2025-11-16 02:28:25.551
YDXH-WLV-P01-001-02,12.036,2025-11-16 02:28:26.467
DLJH-WLV-P01-001-02,17.654,2025-11-16 02:28:30.657
ZYXH-WLV-P01-001-02,18.868,2025-11-16 02:28:31.505
CBXH-WLV-P01-001-02,10.236,2025-11-16 02:28:36.742
JYHDQ-WLV-P01-001-02,8.575,2025-11-16 02:38:25.576
YDXH-WLV-P01-001-02,12.034,2025-11-16 02:38:26.451
DLJH-WLV-P01-001-02,17.71,2025-11-16 02:38:30.620
